Bitcoin,$6542.14
Ethereum,$207.23
XRP,$0.466887
Bitcoin Cash,$447.90
EOS,$5.42
Stellar,$0.240393
Litecoin,$53.56
Tether,$0.971451
Cardano,$0.077506
Monero,$105.64
TRON,$0.024179
IOTA,$0.511324
Dash,$159.67
Binance Coin,$9.90
NEO,$16.63
Ethereum Classic,$9.80
NEM,$0.095616
Tezos,$1.40
VeChain,$0.011754
Zcash,$118.37
Dogecoin,$0.004603
0x,$0.898957
Maker,$644.37
Bitcoin Gold,$26.22
OmiseGO,$3.23
Ontology,$1.84
Qtum,$3.96
Decred,$39.68
Lisk,$2.97
Aeternity,$1.28
ICON,$0.720080
Nano,$2.09
Zilliqa,$0.035152
BitShares,$0.101448
Bitcoin Diamond,$1.74
Bytecoin,$0.001405
DigiByte,$0.023498
Siacoin,$0.006564
Steem,$0.836147
Verge,$0.014423
Basic Attenti...,$0.211999
Waves,$2.03
Pundi X,$0.001515
Bytom,$0.181684
Metaverse ETP,$3.16
Electroneum,$0.019836
TrueUSD,$1.02
Golem,$0.154643
Holo,$0.001073
Stratis,$1.44
Komodo,$1.29
Augur,$12.57
Chainlink,$0.379342
Status,$0.036367
Populous,$3.27
Cryptonex,$2.16
Waltonchain,$2.96
Ardor,$0.114589
Wanchain,$1.04
Aion,$0.432725
KuCoin Shares,$1.13
IOST,$0.011993
Mithril,$0.255380
CyberMiles,$0.122841
ReddCoin,$0.003196
Aurora,$0.025976
ETERNAL TOKEN,$1.48
GXChain,$1.49
Loopring,$0.111890
DigixDAO,$43.48
Digitex Futures,$0.122093
MaidSafeCoin,$0.187621
aelf,$0.333952
Ark,$0.785413
HyperCash,$1.89
Huobi Token,$1.61
Dentacoin,$0.000238
Elastos,$10.04
MOAC,$1.23
QASH,$0.218472
FunFair,$0.014540
MonaCoin,$1.19
Loom Network,$0.124549
Bancor,$1.30
Decentraland,$0.070727
Nebulas,$1.62
PIVX,$1.26
Dropil,$0.003188
Power Ledger,$0.178262
Horizen,$13.86
Crypto.com,$4.34
Odyssey,$0.014073
RChain,$0.172119
WAX,$0.069735
Paxos Standar...,$1.01
TenX,$0.580329
Theta Token,$0.089984
Dai,$0.999715
Polymath,$0.215142
Nxt,$0.059760
Ravencoin,$0.028721
Noah Coin,$0.001778
ZCoin,$10.03
MobileGo,$0.571194
Kyber Network,$0.423832
QuarkChain,$0.068279
Nexo,$0.096360
Mixin,$121.57
Genesis Vision,$12.82
Gas,$5.24
Bitcoin Private,$2.58
Syscoin,$0.097143
SALT,$0.597410
Everipedia,$0.009772
Storj,$0.349505
Cortex,$0.316557
Nuls,$1.14
Dragonchain,$0.190725
Enigma,$0.598784
Civic,$0.130433
Kin,$0.000058
Substratum,$0.111195
Request Network,$0.057628
Nectar,$0.507260
Emercoin,$0.980287
Veritaseum,$20.25
Nexus,$0.677954
Groestlcoin,$0.547836
Gifto,$0.072853
Revain,$0.135413
WaykiChain,$0.225111
Dent,$0.002208
BridgeCoin,$1.39
Skycoin,$3.75
Moeda Loyalty...,$1.90
Linkey,$0.737291
Enjin Coin,$0.047977
Factom,$4.15
Bibox Token,$0.346472
Iconomi,$0.358286
Storm,$0.007841
iExec RLC,$0.434342
Telcoin,$0.000984
Wagerr,$0.184020
Bread,$0.373943
Vertcoin,$0.713340
BHPCash,$1.16
Matrix AI Net...,$0.213532
